vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
34fb87ab-b33e-41fd-bfbe-41e4bea022d2,2023-03-12 15:54:46,74.70623682451696,43.94319128854678,,,4577.0,81.14701744609712,0.2982531556810937,,high,waiting
c14bcf23-d143-4c84-88aa-ef3369bdaa11,2023-05-05 07:07:33,7.514805563612558,37.236228623028225,593.6398771143906,372.1265629210433,9796.0,63.79493998721093,0.0942271799930523,compute,medium,running
f5090368-8add-48d8-a254-76817c3384cd,2023-01-31 21:09:14,13.971618073201132,33.328020854535964,982.1957616189854,89.68205645545035,1554.0,64.92467774265033,0.959444567822867,compute,high,completed
04b764fd-3331-4180-870b-355b619a81e6,2023-01-24 20:23:42,71.11530076558768,57.46500576738226,38.9454436443819,333.4487582257303,6942.0,16.69281118415107,0.5632064279966725,,high,waiting
7de51ac1-ae13-49d1-a7df-7d6b712f543a,2023-06-28 06:26:54,32.26657594839695,51.340455366622685,268.41615090918214,194.7450205433508,2647.0,74.17065009939911,0.2905733330757032,io,low,completed
c2f67100-2d3a-4117-be47-95d84b6db9eb,2023-06-29 14:32:01,24.68866543977385,14.668132386794252,239.99564540378736,377.1940302969188,9128.0,61.64659347151241,0.06332062695450602,compute,high,completed
88f05800-7fef-4787-9b07-6019f7e5eca7,2023-02-21 16:41:02,53.85446089794409,20.21287351827987,195.49711155628157,128.58885655052998,7770.0,45.48225850727923,0.4079592986363334,compute,low,waiting
481b2759-7e0a-4c5d-8f4b-e621234bb3e5,2023-01-28 14:25:05,75.36699459071923,97.44205873374912,,112.46394446717328,8712.0,95.5084282724599,0.5712690758118653,network,high,completed
efc34ce5-1019-4332-8c8f-f4c1793b0b8c,,,11.877427169219711,810.5080021388285,,2214.0,47.78495049711543,0.5433516640730607,network,medium,waiting
c520ff64-7d3d-4a34-9f69-1ee39aed247e,,52.17176496178877,54.07253869044213,307.83744252734203,270.6121326770804,5525.0,78.56071212158027,0.684655430792134,io,high,waiting
